frame,lady,x_start,x_end,y_start,y_end,movie,count
73,1,261,333,365,437,1,3
73,2,1021,1093,397,469,1,3
73,3,1541.142857,1613.142857,371.8571429,443.8571429,1,3
74,1,261,333,357,429,1,3
74,2,1021,1093,397,469,1,3
74,3,1541.214286,1613.214286,371.2857143,443.2857143,1,3
75,1,269,341,357,429,1,3
75,2,1013,1085,397,469,1,3
75,3,1541.285714,1613.285714,370.7142857,442.7142857,1,3
76,1,269,341,349,421,1,3
76,2,1013,1085,397,469,1,3
76,3,1541.357143,1613.357143,370.1428571,442.1428571,1,3
77,1,269,341,349,421,1,3
77,2,1013,1085,397,469,1,3
77,3,1541.428571,1613.428571,369.5714286,441.5714286,1,3
78,1,,,,,1,3
78,2,,,,,1,3
78,3,,,,,1,3
79,1,269,341,357,429,1,3
79,2,1005,1077,397,469,1,3
79,3,1541.571429,1613.571429,368.4285714,440.4285714,1,3
80,1,269,341,365,437,1,3
80,2,997,1069,405,477,1,3
80,3,1541.642857,1613.642857,367.8571429,439.8571429,1,3
81,2,997,1069,397,469,1,3
81,1,269,341,373,445,1,3
81,3,1541.714286,1613.714286,367.2857143,439.2857143,1,3
82,2,989,1061,397,469,1,3
82,1,269,341,389,461,1,3
82,3,1541.785714,1613.785714,366.7142857,438.7142857,1,3
83,1,269,341,397,469,1,3
83,2,989,1061,389,461,1,3
83,3,1541.857143,1613.857143,366.1428571,438.1428571,1,3
84,1,269,341,397,469,1,3
84,2,981,1053,381,453,1,3
84,3,1541.928571,1613.928571,365.5714286,437.5714286,1,3
85,1,269,341,381,453,1,3
85,2,981,1053,381,453,1,3
85,3,1542,1614,365,437,1,3
86,2,973,1045,381,453,1,3
86,3,1541,1613,373,445,1,3
86,1,,,,,1,3
87,2,973,1045,381,453,1,3
87,1,261,333,365,437,1,3
87,3,1533,1605,373,445,1,3
88,1,261,333,357,429,1,3
88,2,973,1045,381,453,1,3
88,3,1533,1605,381,453,1,3
89,3,1533,1605,389,461,1,3
89,1,261,333,349,421,1,3
89,2,973,1045,381,453,1,3
90,1,253,325,349,421,1,3
90,3,1533,1605,389,461,1,3
90,2,965,1037,397,469,1,3
91,1,,,,,1,3
91,2,,,,,1,3
91,3,,,,,1,3
92,1,253,325,349,421,1,3
92,2,967,1039,393,465,1,3
92,3,1535,1607,389,461,1,3
93,1,253,325,357,429,1,3
93,2,968,1040,391,463,1,3
93,3,1537,1609,389,461,1,3
94,1,253,325,373,445,1,3
94,2,969,1041,389,461,1,3
94,3,1539,1611,389,461,1,3
95,1,253,325,381,453,1,3
95,2,970,1042,387,459,1,3
95,3,1541,1613,389,461,1,3
96,1,253,325,397,469,1,3
96,3,1541,1613,389,461,1,3
96,2,971,1043,385,457,1,3
97,1,245,317,397,469,1,3
97,2,972,1044,383,455,1,3
97,3,1533,1605,357,429,1,3
98,1,245,317,389,461,1,3
98,2,973,1045,381,453,1,3
98,3,1537,1609,373,445,1,3
99,1,237,309,381,453,1,3
99,2,965,1037,397,469,1,3
99,3,1541,1613,389,461,1,3
100,3,1533,1605,357,429,1,3
100,1,237,309,373,445,1,3
100,2,965,1037,397,469,1,3
101,3,1533,1605,365,437,1,3
101,1,237,309,357,429,1,3
101,2,973,1045,389,461,1,3
102,3,1533,1605,373,445,1,3
102,1,237,309,357,429,1,3
102,2,973,1045,389,461,1,3
103,3,1533,1605,381,453,1,3
103,2,973,1045,389,461,1,3
103,1,237,309,349,421,1,3
104,1,253,325,349,421,1,3
104,3,1533,1605,373,445,1,3
104,2,973,1045,389,461,1,3
105,1,261,333,357,429,1,3
105,3,1533,1605,365,437,1,3
105,2,975,1047,389.3333333,461.3333333,1,3
106,3,1533,1605,357,429,1,3
106,1,261,333,365,437,1,3
106,2,977,1049,389.6666667,461.6666667,1,3
107,1,269,341,373,445,1,3
107,3,1541,1613,357,429,1,3
107,2,979,1051,390,462,1,3
108,1,269,341,389,461,1,3
108,2,981,1053,390.3333333,462.3333333,1,3
108,3,1541,1613,357,429,1,3
109,2,983,1055,390.6666667,462.6666667,1,3
109,3,1542.6,1614.6,358.6,430.6,1,3
109,1,,,,,1,3
110,1,277,349,405,477,1,3
110,2,985,1057,391,463,1,3
110,3,1544.2,1616.2,360.2,432.2,1,3
111,1,277,349,405,477,1,3
111,2,987,1059,391.3333333,463.3333333,1,3
111,3,1545.8,1617.8,361.8,433.8,1,3
112,1,285,357,405,477,1,3
112,2,989,1061,391.6666667,463.6666667,1,3
112,3,1547.4,1619.4,363.4,435.4,1,3
113,1,293,365,405,477,1,3
113,2,991,1063,392,464,1,3
113,3,1549,1621,365,437,1,3
114,1,293,365,397,469,1,3
114,3,1549,1621,365,437,1,3
114,2,993,1065,392.3333333,464.3333333,1,3
115,1,301,373,397,469,1,3
115,3,1549,1621,365,437,1,3
115,2,995,1067,392.6666667,464.6666667,1,3
116,1,301,373,389,461,1,3
116,2,997,1069,393,465,1,3
116,3,1549,1621,381,453,1,3
117,1,309,381,389,461,1,3
117,3,1549,1621,381,453,1,3
117,2,999,1071,393.3333333,465.3333333,1,3
118,1,317,389,389,461,1,3
118,2,1001,1073,393.6666667,465.6666667,1,3
118,3,1549,1621,381,453,1,3
119,1,317,389,389,461,1,3
119,3,1557,1629,373,445,1,3
119,2,1003,1075,394,466,1,3
120,1,317,389,397,469,1,3
120,3,1557,1629,373,445,1,3
120,2,1005,1077,394.3333333,466.3333333,1,3
121,1,317,389,405,477,1,3
121,3,1557,1629,373,445,1,3
121,2,1007,1079,394.6666667,466.6666667,1,3
122,1,309,381,405,477,1,3
122,2,1009,1081,395,467,1,3
122,3,1549,1621,365,437,1,3
123,1,309,381,413,485,1,3
123,2,1011,1083,395.3333333,467.3333333,1,3
123,3,1550.6,1622.6,366.6,438.6,1,3
124,1,301,373,413,485,1,3
